数据名称,训练样本,NN_test_RMSE,SVM_test_RMSE,随机_test_RMSE,,,
simulated data,150,0.01934273,0.07446187,0.01334043,0.965476581,0.488381614,0.983578307
simulated data,138,0.02155326,0.07765846,0.01707689,0.957134864,0.443511987,0.973091107
simulated data,125,0.03457003,0.0818861,0.02581888,0.889724819,0.381273609,0.938488961
simulated data,113,0.03550035,0.08252712,0.03119628,0.883709688,0.371548677,0.910198439
simulated data,100,0.04128578,0.08523909,0.03691096,0.842717916,0.32956624,0.874284465
simulated data,88,0.04637752,0.08835912,0.0396694,0.801530713,0.279587848,0.854792339
simulated data,75,0.05402,0.09290997,0.04100934,0.730730338,0.203468591,0.844817114
simulated data,63,0.0616865,0.0959964,0.04903719,0.648877609,0.149668712,0.778114247
simulated data,50,0.07476139,0.09647708,0.04790406,0.484257406,0.141131713,0.788250248
