数据名称,训练样本,NN_test_RMSE,SVM_test_RMSE,随机_test_RMSE,,,
ISTANBUL STOCK,148,0.00559066,0.007195556,0.00550657,0.716565679,0.530479033,0.725027916
ISTANBUL STOCK,168,0.00561038,0.007143305,0.0054567,0.71456263,0.537273189,0.729985908
ISTANBUL STOCK,188,0.00541465,0.006951649,0.00552544,0.734131396,0.561770159,0.72314013
ISTANBUL STOCK,208,0.00550567,0.0069525,0.00552333,0.725117792,0.561662859,0.723351539
ISTANBUL STOCK,228,0.00548311,0.006896524,0.00541871,0.727365888,0.568692729,0.733732541
ISTANBUL STOCK,248,0.0055072,0.006756237,0.00528697,0.724964994,0.586061304,0.746522177
ISTANBUL STOCK,268,0.00540972,0.006771788,0.00514706,0.734615319,0.584153565,0.759760322
