数据名称,训练样本,NN_test_RMSE,SVM_test_RMSE,随机_test_RMSE,,,
bodyfat1,53,0.00530667,0.009392746,0.00503524,0.922249835,0.756419615,0.930000086
bodyfat2,63,0.00518763,0.008904631,0.00483553,0.925698917,0.7810782,0.935442706
bodyfat3,74,0.00511458,0.008709811,0.00503646,0.927776737,0.790552771,0.929966161
bodyfat4,84,0.00516631,0.008709811,0.004789,0.926308384,0.790552771,0.936679136
bodyfat5,95,0.00496307,0.007766696,0.00474174,0.93199232,0.833455702,0.937922727
bodyfat6,105,0.00475309,0.007656819,0.00448258,0.937625191,0.83813464,0.944522963
bodyfat7,116,0.00454561,0.007124739,0.00428516,0.942951859,0.859849363,0.949301952
bodyfat8,126,0.00453498,0.006941928,0.00393041,0.943218363,0.866949238,0.957348642
