# disturbd_m.csv,
6.66E-01,1.69E-04
6.67E-01,1.64E-04
6.69E-01,1.45E-04
6.69E-01,1.42E-04
6.69E-01,1.41E-04
6.74E-01,1.11E-04
6.85E-01,6.00E-05
6.86E-01,5.50E-05
6.88E-01,4.94E-05
6.89E-01,4.68E-05
6.94E-01,3.50E-05
6.97E-01,2.93E-05
7.02E-01,2.19E-05
7.02E-01,2.18E-05
7.03E-01,2.01E-05
7.07E-01,1.58E-05
7.10E-01,1.38E-05
7.10E-01,1.37E-05
7.18E-01,8.19E-06
7.22E-01,6.09E-06
7.37E-01,2.41E-06
7.37E-01,2.37E-06
7.40E-01,1.86E-06
7.42E-01,1.63E-06
7.44E-01,1.49E-06
7.46E-01,1.25E-06
7.47E-01,1.20E-06
7.50E-01,9.88E-07
7.61E-01,4.48E-07
7.63E-01,3.76E-07
7.64E-01,3.57E-07
7.65E-01,3.36E-07
7.68E-01,2.64E-07
7.70E-01,2.27E-07
7.72E-01,1.91E-07
7.77E-01,1.39E-07
7.78E-01,1.23E-07
7.83E-01,8.40E-08
7.84E-01,8.11E-08
7.84E-01,7.70E-08
7.86E-01,6.55E-08
7.87E-01,6.26E-08
7.88E-01,5.69E-08
7.90E-01,5.00E-08
7.93E-01,4.06E-08
7.94E-01,3.76E-08
7.97E-01,2.88E-08
7.98E-01,2.64E-08
7.99E-01,2.38E-08
8.13E-01,7.58E-09
8.14E-01,7.41E-09
8.15E-01,6.77E-09
8.15E-01,6.67E-09
8.31E-01,1.69E-09
8.33E-01,1.49E-09
8.33E-01,1.44E-09
8.36E-01,1.08E-09
8.41E-01,6.98E-10
8.45E-01,5.05E-10
8.46E-01,4.52E-10
8.47E-01,4.12E-10
8.48E-01,3.78E-10
8.56E-01,1.95E-10
8.57E-01,1.73E-10
8.61E-01,1.23E-10
8.63E-01,9.79E-11
8.70E-01,5.08E-11
8.83E-01,1.45E-11
8.84E-01,1.39E-11
8.87E-01,1.01E-11
8.93E-01,5.70E-12
8.96E-01,4.31E-12
9.04E-01,1.95E-12
9.20E-01,3.77E-13
9.23E-01,2.61E-13
9.24E-01,2.31E-13
9.27E-01,1.83E-13
9.32E-01,9.86E-14
9.33E-01,9.07E-14
9.42E-01,3.41E-14
9.44E-01,2.93E-14
9.45E-01,2.57E-14
9.51E-01,1.32E-14
9.53E-01,1.05E-14
9.55E-01,8.58E-15
9.57E-01,6.51E-15
9.62E-01,3.71E-15
9.71E-01,1.33E-15
9.83E-01,3.40E-16
9.84E-01,3.13E-16
9.85E-01,2.81E-16
9.88E-01,1.86E-16
9.96E-01,7.91E-17
